股票代码,股票简称,最新价,最新涨跌幅,最低价:不复权[20250310],下影线[20250307],{(}最低价:不复权[20250310]{-}下影线[20250307]{)},60日横盘(条件说明)[20250310],买入信号inter[20250310],技术形态[20250310],开盘价:不复权[20250310],最高价:不复权[20250310],收盘价:不复权[20250310],买入信号inter[20250307],技术形态[20250307],market_code,code,原始股票代码,转换后股票代码,股票名称,MACD信号,KDJ信号,RSI信号,BOLL信号,DMI信号,综合评分,评测结果,备注,主力持仓成本,平均成本
600685.SH,中船防务,23.71,2.507565932,23.2,0.526,22.674,横盘,cr金叉||roc买入信号||cci买入信号,价升量涨||阳线||放量,23.25,24.02,23.71,boll突破中轨||月线bias买入信号||周线skdj金叉,价升量涨||阳线||放量,17,600685,600685,600685.SS,中船防务,看涨,看涨,中性,看涨,看涨,4,建议买入,,暂无数据,暂无数据
600406.SH,国电南瑞,22.53,-1.615720524,22.52,0.131,22.389,横盘,wr超卖||月线bias买入信号||周线wr超卖,缩量||价跌量缩||回调缩量,22.9,22.93,22.52,wr超卖||周线wr超卖||月线wr超卖,放量||阴线||价跌量升,17,600406,600406,600406.SS,国电南瑞,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600362.SH,江西铜业,21.83,0.552740673,21.6,0.047,21.553,横盘,dma金叉||周线skdj金叉||周线cci买入信号,阳线||缩量||价升量缩,21.75,21.98,21.82,周线boll突破中轨||周线rsi金叉||周线dmi金叉,价升量涨||阳线||放量,17,600362,600362,600362.SS,江西铜业,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
002001.SZ,新和成,21.74,-1.181818182,21.74,0.277,21.462999999999997,横盘,月线rsi金叉||月线mtm金叉,缩量||价跌量缩||回调缩量,21.98,22.13,21.75,boll突破中轨||cci买入信号||macd金叉,价升量涨||阳线||放量,33,002001,002001,002001.SZ,新和成,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600141.SH,兴发集团,21.43,-1.335174954,21.36,0.233,21.127,横盘,skdj金叉||kdj金叉||macd金叉,缩量||价跌量缩||回调缩量,21.62,21.7,21.43,skdj金叉||kdj金叉||macd金叉,价升量涨||阳线||缩量,17,600141,600141,600141.SS,兴发集团,看跌,看涨,中性,中性,看涨,2,建议观望或卖出,,暂无数据,暂无数据
600096.SH,云天化,21.19,0.189125296,21.09,0.144,20.946,横盘,cr金叉||macd金叉||dmi金叉,缩量||价升量缩||阴线,21.17,21.32,21.2,行情收盘价上穿5日||skdj金叉||rsi金叉,价升量涨||阳线||放量,17,600096,600096,600096.SS,云天化,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
000403.SZ,派林生物,20.98,0.816914945,20.82,0.193,20.627,横盘,行情收盘价上穿5日||rsi金叉||macd金叉,阳线||缩量||价升量缩,20.87,21.12,20.98,月线bias买入信号||月线wr超卖,缩量||回调缩量||阴线,33,000403,000403,000403.SZ,派林生物,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
600161.SH,天坛生物,19.66,-0.807265388,19.64,0.202,19.438,横盘,wr超卖||rsi底背离||月线bias买入信号,缩量||价跌量缩||回调缩量,19.81,19.94,19.67,wr超卖||月线bias买入信号||月线skdj超卖,缩量||价跌量缩||回调缩量,17,600161,600161,600161.SS,天坛生物,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
001872.SZ,招商港口,18.56,0.324324324,18.39,0.054,18.336000000000002,横盘,wr超卖||skdj超卖||kdj超卖,阳线||缩量||价升量缩,18.55,18.59,18.56,wr超卖||skdj超卖||kdj超卖,放量||价跌量缩||阴线,33,001872,001872,001872.SZ,招商港口,看跌,看跌,超卖，买入信号,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
601966.SH,玲珑轮胎,17.64,-0.395256917,17.61,0.579,17.031,横盘,roc买入信号||dmi金叉||月线dma金叉,缩量||价跌量缩||回调缩量,17.74,17.77,17.64,行情收盘价上穿5日||rsi金叉||macd金叉,价升量涨||阳线||放量,17,601966,601966,601966.SS,玲珑轮胎,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
